ID,Version,Name,Element,Type,Speed,Cost,Attack,Health,Text
0,1,Hivequeen Ngaat,Earth,Hero,,4e,,,"When you summon an [Earth] creature, draw a card."
1,1,Sage Brennas,Earth,Hero,,4e,,,"Whenever you draw a card, you may instead <search> for a card. Do not reveal it."
2,1,Ash Sprite,Earth,Creature,,,1,1,Can provide either [Earth] or [Fire] when channeled.
3,1,Awakened Vines,Earth,Creature,,,1,2,
4,1,Carnivorous Fern,Earth,Creature,,,2,1,<Ready>.
5,1,Enchanted Pebbles,Earth,Creature,,,2,2,You may only play this card if you have cast an [Earth] spell this turn.
6,1,Forest Sprite,Earth,Creature,,,1,1,Your other [Earth] creatures cannot be targeted by your opponent's spells.
7,1,Peach Sapling,Earth,Creature,,,1,1,"When this enters the battlefield, draw a card."
8,1,Evolving Shrub,Earth,Creature,,1r,0,3,[Earth] spells you cast targeting this cost nothing.
9,1,Large Worm,Earth,Creature,,1r,2,2,
10,1,Mana Sapper,Earth,Creature,,1r,1,2,"When this creature damages an opponent, exile the top card of their mana pool to draw a card."
11,1,Relentless Eagle,Earth,Creature,,1r,1,1,"The first time this creature is destroyed, resummon it."
12,1,Spore-Infested Boar,Earth,Creature,,1e,2,1,"When this is destroyed by combat damage, <search> for an [Earth] creature."
13,1,Sand Elemental,Earth,Creature,,1a.1r,3,3,"When this enters the battlefield, destroy a spell or item."
14,1,Ash Golem,Earth,Creature,,1f,2,2,"Whenever this creature would take damage, it takes 1 less damage."
15,1,Ash Elemental,Earth,Creature,,1f.1r,2,3,"When this enters the battlefield, draw a card."
16,1,Armoured Crocodile,Earth,Creature,,2r,3,3,
17,1,Awakened Oak,Earth,Creature,,1e.1r,2,4,"When your opponent casts a spell for which this is a valid target, the spell must target this."
18,1,Earth Spiritsinger,Earth,Creature,,2e,2,2,"Whenever you summon an [Earth] creature, <search> for an [Earth] spell."
19,1,Protector of the Forest,Earth,Creature,,1e.1r,3,3,
20,1,Blighted Druid,Earth,Creature,,2e.1r,4,2,Your [Earth] creatures cost [Earth] less.
21,1,Restless Willow,Earth,Creature,,1e.2r,4,4,
22,1,Evolve Scales,Earth,Spell,Instant,,,,Cast when a friendly creature is attacked. Give it +0 / +4 until the end of this turn.
23,1,Savagery,Earth,Spell,Instant,,,,Cast when you declare a counterattack. Give your creatures +2 / +0 until the end of this turn.
24,1,Contact Poison,Earth,Spell,Equip,,2,-1,Enchant a creature. It gains +2 / -1.
25,1,Growth,Earth,Spell,Equip,,1,1,Enchant a creature. It gains +1 / +1. Draw a card.
26,1,Alarm Pheromone,Earth,Spell,,1e,,,"If you control an [Earth] creature, draw 2 cards."
27,1,Recycle,Earth,Spell,,1e,,,Destroy a creature. Your opponent adds the top card of their exile pile to their hand.
28,1,Entangle,Earth,Spell,Equip,,,,"Enchant a creature. It gains ""cannot attack""."
29,1,Ironskin Runes,Earth,Spell,Equip,1e,,,"Enchant a creature. It gains ""whenever this would take damage, it takes 1 less""."
30,1,Sunlight,Earth,Spell,Field,,,,At the end of each player's turn they draw a card.
31,1,Pollinate,Earth,Spell,,1w.1r,,,<Search> for copies of all [Earth] creatures you control.
32,1,Born From Ash,Earth,Spell,,1f.1r,,,Reveal the top 3 cards of your deck. Select up to 1 [Earth] creature and summon it. Select up to 1 card and draw it. <Burn> any remaining cards.
33,1,Earthen Reclamation,Earth,Spell,,1e,,,"If you control an [Earth] creature, destroy a permanent."
34,1,Forest's Power,Earth,Spell,Equip,2e,3,3,Enchant a creature. It gains +3 / +3.
35,1,Sprite's Blessing,Earth,Spell,Equip,2r,2,2,"Enchant a creature. It gains +2 / +2. <Search> for all ""sprite"" creatures."
36,1,Flower Crown,Earth,Item,Equip,,,,Equip to a friendly creature. It becomes [Earth]. Draw a card.
37,1,Living Spear,Earth,Item,Equip,,1,0,"Equip to a friendly creature. Equipped creature gains +1 / +0. When equipped creature is destroyed, summon a 1 / 1 [Earth] Living Spear creature token."
38,1,Phial of Blight,Earth,Item,Equip,,,,"Equip to a friendly creature. After combat with an enemy creature, destroy this and the enemy creature."
39,1,Fertiliser,Earth,Item,,1e,,,<Search> for an [Earth] enchantment. The next [Earth] enchantment you play this turn costs [Earth] less.
40,1,Hexed Arrow,Earth,Item,,1e,,,"You cannot play this and a creature on the same turn. Deal 1 damage to a creature, and if it takes damage destroy it."
41,1,Chevaux de Frise,Earth,Item,Permanent,1e,,,"At the start of your opponent's battle phase, you may select a friendly creature. It gains +1 / +0 and ""cannot counterattack"" until end of turn."
42,1,Commander Adela,Fire,Hero,,4f,,,"When this enters the battlefield, and at the start of your turn, <burn> 1. If it's a [Fire] creature, summon it and give it <ready>."
43,1,"Erastas, The Phoenix   ",Fire,Hero,,4f,,,"Your [Fire] creatures have +1 / +0. When a friendly [Fire] non-token creature is destroyed, summon a 0 / 1 [Fire] Phoenix Wisp token with <ready>."
44,1,Ember Sprite,Fire,Creature,,,1,1,"After you <burn> a card, you may switch it with this card from your hand."
45,1,Haunted Armour,Fire,Creature,,,1,2,
46,1,Magma Wyrm,Fire,Creature,,,2,2,"At the start of your turn, <burn> 1."
47,1,Runed Champion,Fire,Creature,,,2,1,"When this is destroyed by combat damage, <search> for a [Fire] spell."
